Event_ID,Event_Timestamp,Region_Name,Category_Tier,Gross_Amount,Unit_Quantity,Unit_Price,Processing_Latency_MS,Status
TX-1789757954698-101,2026-09-18T18:59:14.698Z,"Latin America","Beauty & Health",1054.08,4,263.52,60,COMPLETED
TX-1789757956698-476,2026-09-18T18:59:16.698Z,"North America","Beauty & Health",617.40,3,205.80,40,COMPLETED
TX-1789757958698-961,2026-09-18T18:59:18.698Z,"North America","Beauty & Health",103.86,3,34.62,25,COMPLETED
TX-1789757960698-959,2026-09-18T18:59:20.698Z,"Asia Pacific","Electronics & Gadgets",248.02,2,124.01,55,COMPLETED
TX-1789757962698-993,2026-09-18T18:59:22.698Z,"Latin America","Home Goods",718.05,3,239.35,44,COMPLETED
TX-1789757964698-537,2026-09-18T18:59:24.698Z,"Asia Pacific","Electronics & Gadgets",218.26,1,218.26,21,COMPLETED
TX-1789757966698-702,2026-09-18T18:59:26.698Z,"Asia Pacific","Electronics & Gadgets",408.32,4,102.08,67,COMPLETED
TX-1789757968698-905,2026-09-18T18:59:28.698Z,"North America","Electronics & Gadgets",56.28,1,56.28,24,COMPLETED
TX-1789757970698-391,2026-09-18T18:59:30.698Z,"North America","Beauty & Health",232.80,1,232.80,66,COMPLETED
TX-1789757972698-263,2026-09-18T18:59:32.698Z,"Latin America","Apparel & Footwear",483.16,4,120.79,30,COMPLETED
TX-1789757974698-838,2026-09-18T18:59:34.698Z,"North America","Home Goods",199.40,1,199.40,57,COMPLETED
TX-1789757976698-507,2026-09-18T18:59:36.698Z,"Latin America","Apparel & Footwear",202.28,2,101.14,39,COMPLETED
TX-1789757978698-338,2026-09-18T18:59:38.698Z,"North America","Beauty & Health",1074.16,4,268.54,26,COMPLETED
TX-1789757980698-755,2026-09-18T18:59:40.698Z,"EMEA","Beauty & Health",401.10,3,133.70,40,COMPLETED
TX-1789757982698-331,2026-09-18T18:59:42.698Z,"EMEA","Home Goods",448.80,3,149.60,65,COMPLETED
TX-1789757984698-549,2026-09-18T18:59:44.698Z,"Asia Pacific","Home Goods",322.72,2,161.36,35,COMPLETED
TX-1789757986698-244,2026-09-18T18:59:46.698Z,"Asia Pacific","Beauty & Health",179.34,1,179.34,27,COMPLETED
TX-1789757988698-306,2026-09-18T18:59:48.698Z,"EMEA","Beauty & Health",474.96,3,158.32,47,COMPLETED
TX-1789757990698-443,2026-09-18T18:59:50.698Z,"Latin America","Home Goods",639.12,4,159.78,69,COMPLETED
TX-1789757992698-781,2026-09-18T18:59:52.698Z,"Asia Pacific","Apparel & Footwear",246.54,1,246.54,44,COMPLETED
TX-1789757994698-794,2026-09-18T18:59:54.698Z,"Latin America","Electronics & Gadgets",130.04,2,65.02,58,COMPLETED
TX-1789757996698-186,2026-09-18T18:59:56.698Z,"Latin America","Beauty & Health",123.03,3,41.01,46,COMPLETED
TX-1789757998698-726,2026-09-18T18:59:58.698Z,"Latin America","Electronics & Gadgets",405.76,4,101.44,50,COMPLETED
TX-1789758000698-401,2026-09-18T19:00:00.698Z,"North America","Home Goods",786.75,3,262.25,31,COMPLETED
TX-1789758002698-682,2026-09-18T19:00:02.698Z,"Asia Pacific","Beauty & Health",30.47,1,30.47,36,COMPLETED
TX-1789758004698-809,2026-09-18T19:00:04.698Z,"Asia Pacific","Home Goods",580.47,3,193.49,42,COMPLETED
TX-1789758006698-597,2026-09-18T19:00:06.698Z,"Latin America","Apparel & Footwear",334.92,4,83.73,54,COMPLETED
TX-1789758008698-612,2026-09-18T19:00:08.698Z,"North America","Apparel & Footwear",256.19,1,256.19,39,COMPLETED
TX-1789758010698-505,2026-09-18T19:00:10.698Z,"Latin America","Apparel & Footwear",450.40,2,225.20,66,COMPLETED
TX-1789758012698-351,2026-09-18T19:00:12.698Z,"EMEA","Beauty & Health",469.78,2,234.89,62,COMPLETED
TX-1789758014698-685,2026-09-18T19:00:14.698Z,"Latin America","Home Goods",330.10,2,165.05,38,COMPLETED
TX-1789758016698-853,2026-09-18T19:00:16.698Z,"North America","Home Goods",469.56,3,156.52,36,COMPLETED
TX-1789758018698-403,2026-09-18T19:00:18.698Z,"North America","Apparel & Footwear",418.76,2,209.38,37,COMPLETED
TX-1789758020698-313,2026-09-18T19:00:20.698Z,"EMEA","Apparel & Footwear",176.40,1,176.40,39,COMPLETED
TX-1789758022698-275,2026-09-18T19:00:22.698Z,"Latin America","Beauty & Health",831.76,4,207.94,55,COMPLETED
TX-1789758024698-283,2026-09-18T19:00:24.698Z,"Asia Pacific","Home Goods",592.14,3,197.38,30,COMPLETED
TX-1789758026698-291,2026-09-18T19:00:26.698Z,"Latin America","Electronics & Gadgets",259.77,1,259.77,62,COMPLETED
TX-1789758028698-396,2026-09-18T19:00:28.698Z,"Asia Pacific","Electronics & Gadgets",199.20,4,49.80,49,COMPLETED
TX-1789758030698-486,2026-09-18T19:00:30.698Z,"Asia Pacific","Electronics & Gadgets",163.08,3,54.36,23,COMPLETED
TX-1789758032698-576,2026-09-18T19:00:32.698Z,"EMEA","Home Goods",110.37,1,110.37,60,COMPLETED
TX-1789758034698-750,2026-09-18T19:00:34.698Z,"Asia Pacific","Beauty & Health",169.47,1,169.47,59,COMPLETED
TX-1789758036698-621,2026-09-18T19:00:36.698Z,"Latin America","Home Goods",182.02,2,91.01,58,COMPLETED
TX-1789758038698-989,2026-09-18T19:00:38.698Z,"EMEA","Apparel & Footwear",1013.44,4,253.36,66,COMPLETED
TX-1789758040698-703,2026-09-18T19:00:40.698Z,"EMEA","Beauty & Health",199.05,3,66.35,69,COMPLETED
TX-1789758042698-308,2026-09-18T19:00:42.698Z,"North America","Apparel & Footwear",93.59,1,93.59,62,COMPLETED
TX-1789758044698-836,2026-09-18T19:00:44.698Z,"Asia Pacific","Apparel & Footwear",582.00,3,194.00,45,COMPLETED
TX-1789758046698-431,2026-09-18T19:00:46.698Z,"EMEA","Apparel & Footwear",22.97,1,22.97,50,COMPLETED
TX-1789758048698-227,2026-09-18T19:00:48.698Z,"North America","Home Goods",325.66,2,162.83,47,COMPLETED
TX-1789758050698-565,2026-09-18T19:00:50.698Z,"Asia Pacific","Apparel & Footwear",197.73,1,197.73,66,COMPLETED
TX-1789758052698-621,2026-09-18T19:00:52.698Z,"North America","Electronics & Gadgets",247.41,3,82.47,37,COMPLETED
TX-1789758054698-424,2026-09-18T19:00:54.698Z,"Latin America","Home Goods",162.42,2,81.21,55,COMPLETED
TX-1789758056698-281,2026-09-18T19:00:56.698Z,"EMEA","Beauty & Health",74.06,2,37.03,26,FLAGGED
TX-1789758058698-219,2026-09-18T19:00:58.698Z,"North America","Apparel & Footwear",134.00,1,134.00,43,COMPLETED
TX-1789758060698-745,2026-09-18T19:01:00.698Z,"Latin America","Apparel & Footwear",127.88,2,63.94,27,COMPLETED
TX-1789758062698-745,2026-09-18T19:01:02.698Z,"Latin America","Apparel & Footwear",533.00,4,133.25,64,COMPLETED
TX-1789758064698-368,2026-09-18T19:01:04.698Z,"Latin America","Home Goods",216.97,1,216.97,43,COMPLETED
TX-1789758066698-844,2026-09-18T19:01:06.698Z,"Asia Pacific","Apparel & Footwear",231.85,1,231.85,66,COMPLETED
TX-1789758068698-543,2026-09-18T19:01:08.698Z,"Latin America","Home Goods",229.34,1,229.34,47,COMPLETED
TX-1789758070698-728,2026-09-18T19:01:10.698Z,"Latin America","Apparel & Footwear",652.83,3,217.61,23,COMPLETED
TX-1789758072698-910,2026-09-18T19:01:12.698Z,"EMEA","Beauty & Health",730.00,4,182.50,36,COMPLETED
TX-1789758074698-774,2026-09-18T19:01:14.698Z,"North America","Home Goods",779.37,3,259.79,35,COMPLETED
TX-1789758076698-153,2026-09-18T19:01:16.698Z,"North America","Apparel & Footwear",216.81,1,216.81,47,COMPLETED
